City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,isafjordur,66.0755,-23.124,273.44,64,72,2.64,IS,1682299131
83,aginskoye,51.1,114.53,273.86,26,100,6.19,RU,1682299131
84,acaponeta,22.4964,-105.3594,299.27,40,100,2.15,MX,1682299131
85,ciudad guadalupe victoria,24.4497,-104.1225,297.1,12,70,6.0,MX,1682299025
86,kuanda,56.3161,116.0806,270.46,59,100,4.39,RU,1682299131
87,sao gabriel da cachoeira,-0.1303,-67.0892,296.64,94,41,0.97,BR,1682299131
88,edmundston,47.3737,-68.3251,283.57,62,0,5.14,CA,1682299102
89,dunedin,-45.8742,170.5036,284.71,10,9,9.82,NZ,1682298896
90,yanbu,24.0891,38.0637,301.17,74,0,1.54,SA,1682299132
91,pontes e lacerda,-15.2261,-59.3353,294.5,96,98,1.36,BR,1682299132
92,san antonio de pale,-1.4014,5.6325,300.82,77,100,3.98,GQ,1682299132
93,gazojak,41.1875,61.4036,292.46,29,26,7.96,TM,1682299132
94,trinidad,-14.8333,-64.9,294.82,85,100,1.67,BO,1682299132
95,wailua homesteads,22.0669,-159.378,299.39,75,100,5.66,US,1682299132
96,sao joao da barra,-21.6403,-41.0511,294.8,76,0,2.5,BR,1682299133
97,chelm,51.1431,23.4716,283.09,69,94,4.7,PL,1682299133
98,san patricio,28.017,-97.5169,293.08,91,100,5.95,US,1682299133
99,nar'yan-mar,67.6713,53.087,265.04,92,23,6.46,RU,1682299133
100,long beach,33.767,-118.1892,297.57,81,0,5.14,US,1682298906
101,keflavik,64.0049,-22.5624,276.39,75,75,1.54,IS,1682299134
102,georgetown,5.4112,100.3354,302.11,74,20,0.51,MY,1682298942
103,anadyr,64.75,177.4833,268.43,79,20,12.0,RU,1682299134
104,safi,32.1667,-8.8333,287.97,67,0,4.92,MA,1682299134
105,bilibino,68.0546,166.4372,273.57,68,0,2.35,RU,1682299134
106,tofol,5.3248,163.0078,298.03,88,100,1.54,FM,1682299135
107,amungan,15.3652,119.9582,303.12,63,71,1.63,PH,1682299135
108,thompson,55.7435,-97.8558,275.24,44,20,2.57,CA,1682299135
109,tarrafal,15.2833,-23.7667,295.59,77,8,7.09,CV,1682299135
110,tsiombe,-25.3,45.4833,293.19,88,9,3.49,MG,1682299135
111,gusinoozyorsk,51.2833,106.5,276.36,48,37,2.41,RU,1682299136
112,papatowai,-46.5619,169.4708,284.61,63,35,8.83,NZ,1682299136
113,katsuura,35.1333,140.3,283.83,73,100,8.08,JP,1682299136
114,tshabong,-26.05,22.45,292.3,9,12,3.58,BW,1682299136
115,fort mcmurray,56.7268,-111.381,284.92,32,100,6.69,CA,1682299136
116,impfondo,1.6381,18.0667,294.09,98,97,1.33,CG,1682299136
117,hithadhoo,-0.6,73.0833,301.8,74,100,2.74,MV,1682299138
118,sarupathar,26.1984,93.8094,294.83,77,16,1.04,IN,1682299138
119,kloulklubed,7.0419,134.2556,302.43,75,98,2.75,PW,1682299139
120,tura,25.5198,90.2201,295.49,58,7,1.16,IN,1682299139
121,dudinka,69.4058,86.1778,274.05,82,69,5.54,RU,1682299140
122,jamestown,42.097,-79.2353,278.92,76,100,4.12,US,1682299140
123,new norfolk,-42.7826,147.0587,290.87,47,1,0.45,AU,1682299141
124,puerto aysen,-45.4,-72.7,281.84,97,11,1.21,CL,1682299026
125,gisborne,-38.6533,178.0042,285.24,79,100,9.07,NZ,1682299142
126,sisimiut,66.9395,-53.6735,273.27,99,100,2.11,GL,1682299143
127,codrington,-38.2667,141.9667,293.25,52,0,3.86,AU,1682299144
128,port elizabeth,-33.918,25.5701,292.09,95,40,0.51,ZA,1682299144
129,saldanha,-33.0117,17.9442,289.64,95,100,5.42,ZA,1682299145
130,oranjemund,-28.55,16.4333,290.03,55,100,1.65,NA,1682299146
131,gokwe,-18.2048,28.9349,289.63,43,100,2.42,ZW,1682299147
132,olonkinbyen,70.9221,-8.7187,268.35,61,90,6.84,SJ,1682299148
133,hermanus,-34.4187,19.2345,292.48,94,100,3.53,ZA,1682299148
134,albany,42.6001,-73.9662,282.39,88,99,3.13,US,1682298703
135,kununurra,-15.7667,128.7333,302.14,37,2,5.66,AU,1682299149
136,stanley,54.868,-1.6985,277.48,88,75,4.63,GB,1682299136
137,vorgashor,67.5833,63.95,260.51,92,99,4.56,RU,1682299150
138,kurtamysh,54.9103,64.4319,279.71,73,85,5.98,RU,1682299150
139,yaren,-0.5472,166.916,301.76,77,39,5.19,NR,1682299151
140,giado,31.9582,12.0203,286.26,45,0,2.71,LY,1682299151
141,maxixe,-23.8597,35.3472,294.56,82,12,3.11,MZ,1682299152
142,valentin gomez farias,28.2167,-106.5833,297.65,7,0,10.17,MX,1682299152
143,la passe,45.5549,-0.8967,283.7,84,16,4.96,FR,1682299152
144,sola,-13.8833,167.55,300.72,75,80,5.64,VU,1682299152
145,whitehorse,60.7161,-135.0538,278.88,72,100,5.81,CA,1682299153
146,ponta delgada,37.7333,-25.6667,291.55,94,75,7.2,PT,1682299153
147,newman,37.3138,-121.0208,300.28,50,0,4.02,US,1682299153
148,coahuayana de hidalgo,18.7,-103.6583,298.69,76,91,1.84,MX,1682299154
149,labrador city,52.9463,-66.9114,274.1,75,20,2.06,CA,1682299154
150,sao martinho,39.5144,-9.1311,288.68,94,22,2.33,PT,1682299154
151,fisterra,42.9049,-9.2629,289.27,96,90,4.2,ES,1682299154
152,vernon,50.2581,-119.2691,284.04,76,100,1.54,CA,1682298996
153,al ghayzah,16.2079,52.176,300.33,73,5,2.64,YE,1682299156
154,arboletes,8.8505,-76.4269,299.31,78,1,2.99,CO,1682298971
155,togur,58.3631,82.8265,277.21,88,100,4.52,RU,1682299156
156,kimbe,-5.5502,150.1429,304.42,60,60,1.24,PG,1682299157
157,carahue,-38.7,-73.1667,281.95,90,0,0.92,CL,1682299157
158,sant lluis,39.8526,4.2594,289.37,94,20,3.09,ES,1682299157
159,deder,9.3167,41.45,287.14,80,58,0.7,ET,1682298979
160,lesnoy,57.6198,63.0784,275.46,81,44,3.17,RU,1682299158
161,margate,51.3813,1.3862,281.43,82,100,4.02,GB,1682299158
162,kone,-21.0595,164.8658,300.84,69,58,4.0,NC,1682299159
163,moussoro,13.6408,16.4901,304.5,19,37,3.03,TD,1682299159
